2012000001,2018209998
2012000002,5512580598
2012000007,9085199998
2012000008,8622784999
2012000010,7329440866
2012000011,8623689800
2012000012,9082050951
2012000014,7329440866
2012000015,2018209999
2012000031,2018209999
2012000032,9082050951
2012000033,2018209998
2012000034,2018209998
2012000036,2014999921
2012000037,8622897777
2012000042,8622897777
2012000043,2018209998
2012000044,9082050970
2012000045,9085199999
2012000049,2018209998
2012000050,9082050002
2012000054,2018209998
2012000055,2018209998
2012000065,2014999921
2012000070,7329440866
2012000077,2018209998
2012000080,8623689800
2012000084,9082050002
2012000085,2018209999
2012000092,9082050970
2012000093,9082050970
2012000097,8624520081
2012000100,5512580598
2012000101,2018209999
2012000103,2018209998
2012000109,2018209998
2012000113,2014999921
2012000133,9082050970
2012000141,2018209998
2012000143,8482276000
2012000144,2018209998
2012000147,9085199999
2012000149,8624520081
2012000162,2018209998
2012000167,9082050951
2012000171,2018209998
2012000176,2012320000
2012000183,2018209998
2012000187,2018209999
2012000191,2018209998
2012000193,2018209998
2012000196,2018209999
2012000200,7329440866
2012000201,9082050976
2012000203,2014550000
2012000204,2018209998
2012000208,2018209998
2012000211,5512580598
2012000217,2018209998
2012000221,2018209999
2012000222,5512580598
2012000224,2018209999
2012000227,2018209998
2012000229,9082050002
2012000231,2018209998
1,2013358
